2025-09-30 12:37:14,684 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 2d62d95b) | Extra: {}
2025-09-30 12:37:14,684 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 2d62d95b) | Extra: {}
2025-09-30 12:37:14,684 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 2d62d95b) | Extra: {}
2025-09-30 12:37:14,752 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:37:14,752 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:37:14,752 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:37:14,752 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:37:14,764 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 2d62d95b, durée: 0.08s) | Extra: {}
2025-09-30 12:37:14,764 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 2d62d95b, durée: 0.08s) | Extra: {}
2025-09-30 12:37:14,764 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 2d62d95b, durée: 0.08s) | Extra: {}
2025-09-30 12:37:14,764 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 2d62d95b, durée: 0.08s) | Extra: {}
2025-09-30 12:38:54,232 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 7434ca03 | Extra: {}
2025-09-30 12:38:54,233 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: b1d0ba97) | Extra: {}
2025-09-30 12:38:54,305 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:38:54,306 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:38:54,307 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: b1d0ba97, durée: 0.07s) | Extra: {}
2025-09-30 12:38:54,309 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 0633731f) | Extra: {}
2025-09-30 12:38:54,367 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:38:54,369 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 0633731f, durée: 0.06s) | Extra: {}
2025-09-30 12:41:14,966 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 72f7180b | Extra: {}
2025-09-30 12:41:14,969 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: 22a0095a) | Extra: {}
2025-09-30 12:41:15,083 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:41:15,084 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:41:15,085 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: 22a0095a, durée: 0.12s) | Extra: {}
2025-09-30 12:41:15,086 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: eef9a2e0) | Extra: {}
2025-09-30 12:41:15,167 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:41:15,168 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: eef9a2e0, durée: 0.08s) | Extra: {}
